steps,date,interval,Day of Week,weekday or weekend
0,2012-10-01T00:00:00Z,0,Monday,weekday
0,2012-10-01T00:00:00Z,5,Monday,weekday
0,2012-10-01T00:00:00Z,10,Monday,weekday
0,2012-10-01T00:00:00Z,15,Monday,weekday
0,2012-10-01T00:00:00Z,20,Monday,weekday
0,2012-10-01T00:00:00Z,25,Monday,weekday
0,2012-10-01T00:00:00Z,30,Monday,weekday
0,2012-10-01T00:00:00Z,35,Monday,weekday
0,2012-10-01T00:00:00Z,40,Monday,weekday
0,2012-10-01T00:00:00Z,45,Monday,weekday
0,2012-10-01T00:00:00Z,50,Monday,weekday
0,2012-10-01T00:00:00Z,55,Monday,weekday
0,2012-10-01T00:00:00Z,100,Monday,weekday
0,2012-10-01T00:00:00Z,105,Monday,weekday
0,2012-10-01T00:00:00Z,110,Monday,weekday
0,2012-10-01T00:00:00Z,115,Monday,weekday
0,2012-10-01T00:00:00Z,120,Monday,weekday
0,2012-10-01T00:00:00Z,125,Monday,weekday
0,2012-10-01T00:00:00Z,130,Monday,weekday
0,2012-10-01T00:00:00Z,135,Monday,weekday
0,2012-10-01T00:00:00Z,140,Monday,weekday
0,2012-10-01T00:00:00Z,145,Monday,weekday
0,2012-10-01T00:00:00Z,150,Monday,weekday
0,2012-10-01T00:00:00Z,155,Monday,weekday
0,2012-10-01T00:00:00Z,200,Monday,weekday
0,2012-10-01T00:00:00Z,205,Monday,weekday
0,2012-10-01T00:00:00Z,210,Monday,weekday
0,2012-10-01T00:00:00Z,215,Monday,weekday
0,2012-10-01T00:00:00Z,220,Monday,weekday
0,2012-10-01T00:00:00Z,225,Monday,weekday
0,2012-10-01T00:00:00Z,230,Monday,weekday
0,2012-10-01T00:00:00Z,235,Monday,weekday
0,2012-10-01T00:00:00Z,240,Monday,weekday
0,2012-10-01T00:00:00Z,245,Monday,weekday
0,2012-10-01T00:00:00Z,250,Monday,weekday
0,2012-10-01T00:00:00Z,255,Monday,weekday
0,2012-10-01T00:00:00Z,300,Monday,weekday
